corp_code,corp_name,bsns_year,fs_div,sj_div,sj_nm,account_id,account_nm,thstrm_amount,frmtrm_amount,ord,currency,source,rcept_no,is_comparative
01375682,샌드박스네트워크,2022,OFS,BS,재무상태표,dart-audit_Assets,자산총계,66636281414.0,82709714904.0,,KRW,audit_report,20230412001669,False
01375682,샌드박스네트워크,2022,OFS,BS,재무상태표,dart-audit_Liabilities,부채총계,41238519215.0,26400615354.0,,KRW,audit_report,20230412001669,False
01375682,샌드박스네트워크,2022,OFS,BS,재무상태표,dart-audit_Equity,자본총계,25397762199.0,56309099550.0,,KRW,audit_report,20230412001669,False
01375682,샌드박스네트워크,2022,OFS,CIS,포괄손익계산서,dart-audit_Revenue,Ⅰ.영업수익,146229905844.0,113672460903.0,,KRW,audit_report,20230412001669,False
01375682,샌드박스네트워크,2022,OFS,CIS,포괄손익계산서,dart-audit_OperatingIncomeLoss,Ⅲ.영업이익,-21208992741.0,-12129143448.0,,KRW,audit_report,20230412001669,False
01375682,샌드박스네트워크,2022,OFS,CIS,포괄손익계산서,dart-audit_ProfitLoss,Ⅷ.당기순이익(손실),-34503648150.0,-15712402656.0,,KRW,audit_report,20230412001669,False
01375682,샌드박스네트워크,2023,OFS,BS,재무상태표,dart-audit_Assets,자산총계,43847716216.0,66636281414.0,,KRW,audit_report,20240409000300,False
01375682,샌드박스네트워크,2023,OFS,BS,재무상태표,dart-audit_Liabilities,부채총계,32962421239.0,41238519215.0,,KRW,audit_report,20240409000300,False
01375682,샌드박스네트워크,2023,OFS,BS,재무상태표,dart-audit_Equity,자본총계,10885294977.0,25397762199.0,,KRW,audit_report,20240409000300,False
01375682,샌드박스네트워크,2023,OFS,CIS,포괄손익계산서,dart-audit_Revenue,Ⅰ.영업수익,102807949357.0,146229905844.0,,KRW,audit_report,20240409000300,False
01375682,샌드박스네트워크,2023,OFS,CIS,포괄손익계산서,dart-audit_OperatingIncomeLoss,Ⅲ.영업손실,-11542247320.0,-21208992741.0,,KRW,audit_report,20240409000300,False
01375682,샌드박스네트워크,2023,OFS,CIS,포괄손익계산서,dart-audit_ProfitLoss,Ⅷ.당기순손실,-14772590610.0,-34503648150.0,,KRW,audit_report,20240409000300,False
01375682,샌드박스네트워크,2024,CFS,BS,재무상태표,dart-audit_Assets,자산총계,32389420968.0,39987726471.0,,KRW,audit_report,20250404003810,False
01375682,샌드박스네트워크,2023,CFS,BS,재무상태표,dart-audit_Assets,자산총계(전기 비교치),39987726471.0,,,KRW,audit_report,20250404003810,True
01375682,샌드박스네트워크,2024,CFS,BS,재무상태표,dart-audit_Liabilities,부채총계,126626358069.0,130053957421.0,,KRW,audit_report,20250404003810,False
01375682,샌드박스네트워크,2023,CFS,BS,재무상태표,dart-audit_Liabilities,부채총계(전기 비교치),130053957421.0,,,KRW,audit_report,20250404003810,True
01375682,샌드박스네트워크,2024,CFS,BS,재무상태표,dart-audit_Equity,자본총계,-94236937101.0,-90066230950.0,,KRW,audit_report,20250404003810,False
01375682,샌드박스네트워크,2023,CFS,BS,재무상태표,dart-audit_Equity,자본총계(전기 비교치),-90066230950.0,,,KRW,audit_report,20250404003810,True
01375682,샌드박스네트워크,2024,CFS,CIS,포괄손익계산서,dart-audit_Revenue,I. 영업수익,64472805935.0,69715552688.0,,KRW,audit_report,20250404003810,False
01375682,샌드박스네트워크,2023,CFS,CIS,포괄손익계산서,dart-audit_Revenue,I. 영업수익(전기 비교치),69715552688.0,,,KRW,audit_report,20250404003810,True
01375682,샌드박스네트워크,2024,CFS,CIS,포괄손익계산서,dart-audit_OperatingIncomeLoss,III. 영업이익,-4702164076.0,-15296214851.0,,KRW,audit_report,20250404003810,False
01375682,샌드박스네트워크,2023,CFS,CIS,포괄손익계산서,dart-audit_OperatingIncomeLoss,III. 영업이익(전기 비교치),-15296214851.0,,,KRW,audit_report,20250404003810,True
01375682,샌드박스네트워크,2024,CFS,CIS,포괄손익계산서,dart-audit_ProfitLoss,X. 당기순이익,-4160999816.0,-205045401.0,,KRW,audit_report,20250404003810,False
01375682,샌드박스네트워크,2023,CFS,CIS,포괄손익계산서,dart-audit_ProfitLoss,X. 당기순이익(전기 비교치),-205045401.0,,,KRW,audit_report,20250404003810,True
01375682,샌드박스네트워크,2024,OFS,BS,재무상태표,dart-audit_Assets,자산총계,31955802993.0,38625049235.0,,KRW,audit_report,20250404003809,False
01375682,샌드박스네트워크,2024,OFS,BS,재무상태표,dart-audit_Liabilities,부채총계,123645085228.0,126904272616.0,,KRW,audit_report,20250404003809,False
01375682,샌드박스네트워크,2024,OFS,BS,재무상태표,dart-audit_Equity,자본총계,-91689282235.0,-88279223381.0,,KRW,audit_report,20250404003809,False
01375682,샌드박스네트워크,2024,OFS,CIS,포괄손익계산서,dart-audit_Revenue,I. 영업수익,63019663155.0,66551257405.0,,KRW,audit_report,20250404003809,False
01375682,샌드박스네트워크,2024,OFS,CIS,포괄손익계산서,dart-audit_OperatingIncomeLoss,III. 영업손실,-3898569860.0,-11499981857.0,,KRW,audit_report,20250404003809,False
01375682,샌드박스네트워크,2024,OFS,CIS,포괄손익계산서,dart-audit_ProfitLoss,X. 당기순손실,-3442358670.0,-9306667018.0,,KRW,audit_report,20250404003809,False
01375682,샌드박스네트워크,2025,CFS,BS,재무상태표,dart-audit_Assets,자산총계,36740868871.0,32389420968.0,,KRW,audit_report,20260413002333,False
01375682,샌드박스네트워크,2025,CFS,BS,재무상태표,dart-audit_Liabilities,부채총계,124632059746.0,126626358069.0,,KRW,audit_report,20260413002333,False
01375682,샌드박스네트워크,2025,CFS,BS,재무상태표,dart-audit_Equity,자본총계,-87891190875.0,-94236937101.0,,KRW,audit_report,20260413002333,False
01375682,샌드박스네트워크,2025,CFS,CIS,포괄손익계산서,dart-audit_Revenue,I. 영업수익,73147510889.0,64472805935.0,,KRW,audit_report,20260413002333,False
01375682,샌드박스네트워크,2025,CFS,CIS,포괄손익계산서,dart-audit_OperatingIncomeLoss,III. 영업손실,-4273011835.0,-4702164076.0,,KRW,audit_report,20260413002333,False
01375682,샌드박스네트워크,2025,CFS,CIS,포괄손익계산서,dart-audit_ProfitLoss,X. 당기순손실,-4512363070.0,-4160999816.0,,KRW,audit_report,20260413002333,False
01375682,샌드박스네트워크,2025,OFS,BS,재무상태표,dart-audit_Assets,자산총계,36398289154.0,31955802993.0,,KRW,audit_report,20260413002332,False
01375682,샌드박스네트워크,2025,OFS,BS,재무상태표,dart-audit_Liabilities,부채총계,124170187865.0,123645085228.0,,KRW,audit_report,20260413002332,False
01375682,샌드박스네트워크,2025,OFS,BS,재무상태표,dart-audit_Equity,자본총계,-87771898711.0,-91689282235.0,,KRW,audit_report,20260413002332,False
01375682,샌드박스네트워크,2025,OFS,CIS,포괄손익계산서,dart-audit_Revenue,I. 영업수익,72369522061.0,63019663155.0,,KRW,audit_report,20260413002332,False
01375682,샌드박스네트워크,2025,OFS,CIS,포괄손익계산서,dart-audit_OperatingIncomeLoss,III. 영업손실,-4106646230.0,-3898569860.0,,KRW,audit_report,20260413002332,False
01375682,샌드박스네트워크,2025,OFS,CIS,포괄손익계산서,dart-audit_ProfitLoss,X. 당기순손실,-6939186212.0,-3442358670.0,,KRW,audit_report,20260413002332,False
01906622,패러블엔터테인먼트,2025,OFS,BS,재무상태표,dart-audit_Assets,자     산     총     계,9206282637.0,16906675717.0,,KRW,audit_report,20260407000075,False
01906622,패러블엔터테인먼트,2024,OFS,BS,재무상태표,dart-audit_Assets,자     산     총     계(전기 비교치),16906675717.0,,,KRW,audit_report,20260407000075,True
01906622,패러블엔터테인먼트,2025,OFS,BS,재무상태표,dart-audit_Liabilities,부     채     총     계,4707252317.0,3219372458.0,,KRW,audit_report,20260407000075,False
01906622,패러블엔터테인먼트,2024,OFS,BS,재무상태표,dart-audit_Liabilities,부     채     총     계(전기 비교치),3219372458.0,,,KRW,audit_report,20260407000075,True
01906622,패러블엔터테인먼트,2025,OFS,BS,재무상태표,dart-audit_Equity,자     본     총     계,4499030320.0,13687303259.0,,KRW,audit_report,20260407000075,False
01906622,패러블엔터테인먼트,2024,OFS,BS,재무상태표,dart-audit_Equity,자     본     총     계(전기 비교치),13687303259.0,,,KRW,audit_report,20260407000075,True
