corp_name,bsns_year,fs_div,assets,liabilities,equity,revenue,operating_income,net_income,operating_margin,net_margin,asset_turnover,equity_ratio,debt_to_equity,revenue_yoy,operating_income_yoy
NAVER,2016,CFS,6370635180592.0,2241036317652.0,4129598862940.0,4022629619982.0,1102040475792.0,759072951187.0,0.27396021505875834,0.18870068161791057,0.6314330527412483,0.6482240382435855,0.5426765146037771,,
NAVER,2017,CFS,8019251559914.0,2714065324965.0,5305186234949.0,4678468928032.0,1179187806331.0,770101670207.0,0.25204566375671666,0.16460548996975888,0.5834046847237416,0.6615562805721353,0.5115871912442091,0.16303745808268943,0.07000408082430609
NAVER,2018,CFS,9881190909324.0,3932050396031.0,5949140513293.0,5586904533355.0,942532561543.0,627901873332.0,0.16870389603328312,0.11238815153960359,0.5654080145423701,0.6020671564678834,0.6609442804796873,0.19417369641591997,-0.20069342942439694
NAVER,2019,CFS,12299527120786.0,5795601052206.0,6503926068580.0,6593400065244.0,710070173513.0,396821062465.0,0.10769408294455171,0.06018458739623211,0.5360693952291272,0.5287948068823289,0.891092701715066,0.1801526276097989,-0.24663592274142843
NAVER,2020,CFS,17014238663770.0,8759106628557.0,8255132035213.0,5304145900386.0,1215342457273.0,844996977149.0,0.22913066120307052,0.15930877336679347,0.3117474725260914,0.4851896225478146,1.0610498525274037,-0.19553707527229947,0.7115807741370359
NAVER,2021,CFS,33691006757040.0,9663630407765.0,24027376349275.0,6817599707250.0,1325478171117.0,16477625559645.0,0.19442006395703382,2.4169247634357727,0.2023566632013871,0.7131688442125372,0.40219249356605635,0.28533412075898235,0.09062113578350894
NAVER,2022,CFS,33899042889136.0,10448720408685.0,23450322480451.0,8220078708810.0,1304664410543.0,673180300087.0,0.15871677836183068,0.0818946294717967,0.24248704412372596,0.691769456652311,0.44556830369370887,0.2057144833640745,-0.01570283164788744
NAVER,2023,CFS,35737826964395.0,11499828148842.0,24237998815553.0,9670643576585.0,1488820269608.0,985017762493.0,0.15395255319023432,0.10185648500974326,0.2705996530292595,0.6782169167616406,0.4744545222711542,0.1764660557593365,0.14115189896868152
NAVER,2024,CFS,38167876036020.0,11166964187683.0,27000911848337.0,10737719264647.0,1979263438827.0,1931976372953.0,0.18432810451131382,0.1799242767795078,0.28132870832302903,0.707425056161248,0.4135772988115132,0.11034174505672523,0.3294173106255005
NAVER,2025,CFS,41084496327318.0,12131482961723.0,28953013365595.0,12035007218975.0,2208138388720.0,1818746310015.0,0.1834762828591027,0.15112133104062228,0.2929330597871454,0.7047187127457492,0.4190058840693555,0.1208159686758814,0.11563642585579292
SOOP,2016,CFS,83426396974.0,26121591428.0,57304805546.0,79830291786.0,16020097110.0,10048384460.0,0.20067692039689472,0.12587182428114593,0.9568948759812709,0.6868905721034453,0.45583596661944076,,
SOOP,2017,CFS,103442156418.0,33334044109.0,70108112309.0,94552464738.0,18322966652.0,14659197066.0,0.19378624029285746,0.1550377042694749,0.9140612300842067,0.6777518444772141,0.4754662907208358,0.18441837832016872,0.14374878792479429
SOOP,2018,CFS,157544019482.0,64650995009.0,92893024473.0,126627785921.0,27123250393.0,21334754344.0,0.21419667252116006,0.16848398784537097,0.8037613000947186,0.5896321852040431,0.695972548808455,0.33923305195564235,0.48028705766592794
SOOP,2019,CFS,228549555437.0,106760702207.0,121788853230.0,167656442900.0,36725813163.0,34160385821.0,0.21905399236524062,0.20375229982288978,0.7335671363675644,0.5328772265477947,0.876604872905576,0.3240099057295116,0.3540343664886949
SOOP,2020,CFS,292037611328.0,144478287914.0,147559323414.0,195028225439.0,50413528348.0,36260333991.0,0.2584934987462525,0.18592351906694313,0.6678188626188817,0.5052750662594271,0.979120021502432,0.16326114323757968,0.3727001257739313
SOOP,2021,CFS,408149760647.0,198723010089.0,209426750558.0,260479480423.0,88822009755.0,70868748330.0,0.34099426799669375,0.2720703689016664,0.6381958426487554,0.5131125159206664,0.9488902900871986,0.33559888491356626,0.7618685433376087
SOOP,2022,CFS,465125470787.0,223950840265.0,241174630522.0,289087250014.0,82418820782.0,59513056225.0,0.28510015844008546,0.20586537878138134,0.6215253048276621,0.5185152086251663,0.9285837394268182,0.10982734434414199,-0.07209011584698521
SOOP,2023,CFS,578068356015.0,284722352753.0,293346003262.0,344016008889.0,90309374651.0,74623795681.0,0.26251503510738994,0.2169195437212286,0.5951130265294668,0.5074590231581334,0.9706024612126798,0.19000754572309875,0.09573728177779595
SOOP,2024,CFS,715724798333.0,333300172487.0,382424625846.0,413178446964.0,113506476450.0,102423309023.0,0.2747153857710534,0.2478912193402094,0.5772867559239767,0.5343179763181436,0.8715447436201922,0.2010442429652044,0.25686261131410837
SOOP,2025,CFS,884795265717.0,381621684798.0,503173580919.0,466570266082.0,124840445238.0,103744269375.0,0.2675705125539638,0.2223550811460559,0.5273200300228907,0.5686892780910732,0.7584294948494777,0.12922217872282182,0.09985305810274747
