video_id,clip_channel_id,clip_channel_title,source_member_ko,source_member_en,unit,title,published_at,views,likes,comments,clip_channel_subs
hrRWanMFEOU,UCMQ2Enw82SclYZKenYfHU8g,스텔이즘,아야츠노 유니,Ayatsuno Yuni,EVERYS,찐목소리로 어머님을 부르는 부키 [시부키] #스텔라이브 #버튜버 #키리누키,2026-07-31T06:00:11Z,353005,13246.0,199.0,1760
7602xIRBdbQ,UCRipF7KE5WnUEteUfRiBffA,스텔라이브 팬클립,아야츠노 유니,Ayatsuno Yuni,EVERYS,[유니] 여자력에 대한 열등감이 폭발하는 유니,2026-01-05T09:15:02Z,64377,882.0,43.0,5980
1_YSsD0KpD4,UCl5zjkiU9-dQInzsKAmv8nw,버튜버 팬박스,아야츠노 유니,Ayatsuno Yuni,EVERYS,&#39;그 키리누키&#39;를 봐버린 유니,2023-02-09T18:41:44Z,186767,2738.0,91.0,29900
IF6_7iaC5-Q,UCaZe24DH7CJ_ZCtrXfQwNkg,버츄얼키리누키,아야츠노 유니,Ayatsuno Yuni,EVERYS,[아야츠노 유니] 파피 플레이타임 하는 유니,2023-02-04T03:54:25Z,1017,18.0,2.0,3660
hw3qzsMzy6M,UCf6RJz_2KJkGU4G8SxmPQPw,스텔라이브 키리누키 팬튜브,아야츠노 유니,Ayatsuno Yuni,EVERYS,스텔라이브 클래식면도 좋아하는 타비 #타비  #asmr  #취미,2026-07-30T22:00:39Z,7499,550.0,2.0,244
l0NXdwa7xUw,UC9UgFPP93BRcjTlXQh039LQ,클립따는 유인원,아야츠노 유니,Ayatsuno Yuni,EVERYS,일본 갔다 한국어 초기화 된 유니,2026-05-09T09:00:58Z,104205,2155.0,118.0,10100
2NYEdxSBb8c,UCRipF7KE5WnUEteUfRiBffA,스텔라이브 팬클립,아야츠노 유니,Ayatsuno Yuni,EVERYS,[유니] 매우 예의 바르게 오팬무를 말하는 시청자 #vtuber #브이튜버 #스텔라이브 #유니 #shorts,2025-09-27T02:55:43Z,306206,4273.0,47.0,5980
Y97TUNrbEDk,UCOmWo_jU2xHLl4NzdnBIwtg,민트숯불치킨,아야츠노 유니,Ayatsuno Yuni,EVERYS,전설의 유니 검색어 유출 사건 클립을 본 부키 ㅋㅋㅋㅋㅋ,2025-03-12T08:00:35Z,49201,873.0,40.0,30300
yibESvN47sc,UCTT1PoV8qhCMlG_gxwriLww,모듬클립,아야츠노 유니,Ayatsuno Yuni,EVERYS,진짜 어지러운 유니선배ㅋㅋㅋㅋ,2024-11-02T11:01:09Z,241598,3411.0,101.0,1230
ArJwEkbWrp4,UCEBJV6V99ZJn_BnfkAoMyBA,피엔나야 클립따줘,아야츠노 유니,Ayatsuno Yuni,EVERYS,유니 참치 발음 듣고 당황한 리제,2025-05-12T07:00:08Z,5192,125.0,11.0,5200
H5p2sNQHuno,UC8CspoD95Eon_mjg6fl2_sQ,타비 클립 창고,아야츠노 유니,Ayatsuno Yuni,EVERYS,테트리스 잘하는 상상조차 못하게 해서 그 긴거를 시전한 유니 [ 아야츠노 유니 ],2026-04-02T10:23:44Z,5987,104.0,17.0,5190
