game,name_ko_game,char_id,name_ko,name_en,route_en,rank,rarity_label,element,weapon_or_path,is_playable_avatar,release_unix,release_date,n_battlesuits,best_rank,latest_s_battlesuit,default_order,is_limited,match_name,name_len,name_ambiguous,matchable,mention_count,avg_mention_score,mention_rate_per_10k,comment_mentions,youtube_mentions,apple_mentions,hoyolab_mentions,comment_rate_per_10k,mentions_total,game_avg_score,sentiment_vs_baseline,push_rank,audience_rank
genshin,원신,10000038,알베도,,Albedo,5,5성,Rock,WEAPON_SWORD_ONE_HAND,False,1608588000.0,2020-12-21T22:00:00+00:00,,,,,,알베도,3,False,True,1.0,5.0,7.59,45.0,45.0,0.0,0.0,12.42,46.0,3.66,1.34,58.0,35.0
genshin,원신,10000039,디오나,,Diona,4,4성,Ice,WEAPON_BOW,False,1605060000.0,2020-11-11T02:00:00+00:00,,,,,,디오나,3,False,True,0.0,,0.0,19.0,19.0,0.0,0.0,5.24,19.0,3.66,,,61.0
genshin,원신,10000041,모나,,Mona,5,5성,Water,WEAPON_CATALYST,False,1601244000.0,2020-09-27T22:00:00+00:00,,,,,,모나,2,True,True,1.0,2.0,7.59,33.0,33.0,0.0,0.0,9.1,34.0,3.66,-1.66,66.0,41.0
genshin,원신,10000042,각청,,Keqing,5,5성,Electric,WEAPON_SWORD_ONE_HAND,False,1601244000.0,2020-09-27T22:00:00+00:00,,,,,,각청,2,True,True,0.0,,0.0,18.0,18.0,0.0,0.0,4.97,18.0,3.66,,67.0,64.0
genshin,원신,10000043,설탕,,Sucrose,4,4성,Wind,WEAPON_CATALYST,False,1601244000.0,2020-09-27T22:00:00+00:00,,,,,,설탕,2,True,True,0.0,,0.0,13.0,13.0,0.0,0.0,3.59,13.0,3.66,,,73.0
genshin,원신,10000044,신염,,Xinyan,4,4성,Fire,WEAPON_CLAYMORE,False,1606874400.0,2020-12-02T02:00:00+00:00,,,,,,신염,2,True,True,0.0,,0.0,1.0,1.0,0.0,0.0,0.28,1.0,3.66,,,104.0
genshin,원신,10000045,로자리아,,Rosaria,4,4성,Ice,WEAPON_POLE,False,1617721200.0,2021-04-06T15:00:00+00:00,,,,,,로자리아,4,False,True,0.0,,0.0,18.0,18.0,0.0,0.0,4.97,18.0,3.66,,,65.0
genshin,원신,10000046,호두,,Hu Tao,5,5성,Fire,WEAPON_POLE,False,1614700800.0,2021-03-02T16:00:00+00:00,,,,,,호두,2,True,True,2.0,2.5,15.17,31.0,31.0,0.0,0.0,8.55,33.0,3.66,-1.16,55.0,43.0
genshin,원신,10000047,카에데하라 카즈하,,Kaedehara Kazuha,5,5성,Wind,WEAPON_SWORD_ONE_HAND,False,1624978800.0,2021-06-29T15:00:00+00:00,,,,,,카에데하라 카즈하,9,False,True,0.0,,0.0,1.0,1.0,0.0,0.0,0.28,1.0,3.66,,53.0,105.0
genshin,원신,10000048,연비,,Yanfei,4,4성,Fire,WEAPON_CATALYST,False,1619470800.0,2021-04-26T21:00:00+00:00,,,,,,연비,2,True,True,0.0,,0.0,6.0,6.0,0.0,0.0,1.66,6.0,3.66,,,85.0
genshin,원신,10000049,요이미야,,Yoimiya,5,5성,Fire,WEAPON_BOW,False,1628607600.0,2021-08-10T15:00:00+00:00,,,,,,요이미야,4,False,True,1.0,5.0,7.59,4.0,4.0,0.0,0.0,1.1,5.0,3.66,1.34,51.0,91.0
genshin,원신,10000050,토마,,Thoma,4,4성,Fire,WEAPON_POLE,False,1635868800.0,2021-11-02T16:00:00+00:00,,,,,,토마,2,True,True,0.0,,0.0,3.0,3.0,0.0,0.0,0.83,3.0,3.66,,,96.0
genshin,원신,10000051,유라,,Eula,5,5성,Ice,WEAPON_CLAYMORE,False,1621350000.0,2021-05-18T15:00:00+00:00,,,,,,유라,2,True,True,1.0,1.0,7.59,109.0,107.0,2.0,0.0,30.07,110.0,3.66,-2.66,54.0,18.0
genshin,원신,10000052,라이덴 쇼군,,Raiden Shogun,5,5성,Electric,WEAPON_POLE,False,1630443600.0,2021-08-31T21:00:00+00:00,,,,,,라이덴 쇼군,6,False,True,1.0,4.0,7.59,9.0,9.0,0.0,0.0,2.48,10.0,3.66,0.34,49.0,77.0
genshin,원신,10000053,사유,,Sayu,4,4성,Wind,WEAPON_CLAYMORE,False,1628607600.0,2021-08-10T15:00:00+00:00,,,,,,사유,2,True,True,0.0,,0.0,6.0,6.0,0.0,0.0,1.66,6.0,3.66,,,86.0
genshin,원신,10000054,산고노미야 코코미,,Sangonomiya Kokomi,5,5성,Water,WEAPON_CATALYST,False,1632236400.0,2021-09-21T15:00:00+00:00,,,,,,산고노미야 코코미,9,False,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,,48.0,
genshin,원신,10000055,고로,,Gorou,4,4성,Rock,WEAPON_BOW,False,1639497600.0,2021-12-14T16:00:00+00:00,,,,,,고로,2,True,True,4.0,3.25,30.35,38.0,33.0,5.0,0.0,10.48,42.0,3.66,-0.41,,37.0
genshin,원신,10000056,쿠죠 사라,,Kujou Sara,4,4성,Electric,WEAPON_BOW,False,1630443600.0,2021-08-31T21:00:00+00:00,,,,,,쿠죠 사라,5,False,True,0.0,,0.0,1.0,1.0,0.0,0.0,0.28,1.0,3.66,,,106.0
genshin,원신,10000057,아라타키 이토,,Arataki Itto,5,5성,Rock,WEAPON_CLAYMORE,False,1639497600.0,2021-12-14T16:00:00+00:00,,,,,,아라타키 이토,7,False,True,0.0,,0.0,1.0,1.0,0.0,0.0,0.28,1.0,3.66,,47.0,107.0
genshin,원신,10000058,야에 미코,,Yae Miko,5,5성,Electric,WEAPON_CATALYST,False,1644962400.0,2022-02-15T22:00:00+00:00,,,,,,야에 미코,5,False,True,0.0,,0.0,1.0,1.0,0.0,0.0,0.28,1.0,3.66,,45.0,108.0
genshin,원신,10000059,시카노인 헤이조,,Shikanoin Heizou,4,4성,Wind,WEAPON_CATALYST,False,1657659600.0,2022-07-12T21:00:00+00:00,,,,,,시카노인 헤이조,8,False,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,,,
genshin,원신,10000060,야란,,Yelan,5,5성,Water,WEAPON_BOW,False,1653944400.0,2022-05-30T21:00:00+00:00,,,,,,야란,2,True,True,2.0,3.0,15.17,26.0,26.0,0.0,0.0,7.17,28.0,3.66,-0.66,43.0,47.0
genshin,원신,10000061,키라라,,Kirara,4,4성,Grass,WEAPON_SWORD_ONE_HAND,False,1684789200.0,2023-05-22T21:00:00+00:00,,,,,,키라라,3,False,True,0.0,,0.0,25.0,25.0,0.0,0.0,6.9,25.0,3.66,,,53.0
genshin,원신,10000062,에일로이,,Aloy,5,5성,Ice,WEAPON_BOW,False,1630443600.0,2021-08-31T21:00:00+00:00,,,,,,에일로이,4,False,True,0.0,,0.0,2.0,2.0,0.0,0.0,0.55,2.0,3.66,,50.0,102.0
genshin,원신,10000063,신학,,Shenhe,5,5성,Ice,WEAPON_POLE,False,1641333600.0,2022-01-04T22:00:00+00:00,,,,,,신학,2,True,True,0.0,,0.0,7.0,7.0,0.0,0.0,1.93,7.0,3.66,,46.0,82.0
genshin,원신,10000064,운근,,Yun Jin,4,4성,Rock,WEAPON_POLE,False,1641333600.0,2022-01-04T22:00:00+00:00,,,,,,운근,2,True,True,0.0,,0.0,3.0,3.0,0.0,0.0,0.83,3.0,3.66,,,97.0
genshin,원신,10000065,쿠키 시노부,,Kuki Shinobu,4,4성,Electric,WEAPON_SWORD_ONE_HAND,False,1655823600.0,2022-06-21T15:00:00+00:00,,,,,,쿠키 시노부,6,False,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,,,
genshin,원신,10000066,카미사토 아야토,,Kamisato Ayato,5,5성,Water,WEAPON_SWORD_ONE_HAND,False,1648587600.0,2022-03-29T21:00:00+00:00,,,,,,카미사토 아야토,8,False,True,0.0,,0.0,1.0,1.0,0.0,0.0,0.28,1.0,3.66,,44.0,109.0
genshin,원신,10000067,콜레이,,Collei,4,4성,Grass,WEAPON_BOW,False,1661288400.0,2022-08-23T21:00:00+00:00,,,,,,콜레이,3,False,True,0.0,,0.0,32.0,32.0,0.0,0.0,8.83,32.0,3.66,,,44.0
genshin,원신,10000068,도리,,Dori,4,4성,Electric,WEAPON_CLAYMORE,False,1662735600.0,2022-09-09T15:00:00+00:00,,,,,,도리,2,True,True,0.0,,0.0,25.0,24.0,1.0,0.0,6.9,25.0,3.66,,,54.0
genshin,원신,10000069,타이나리,,Tighnari,5,5성,Grass,WEAPON_BOW,False,1661288400.0,2022-08-23T21:00:00+00:00,,,,,,타이나리,4,False,True,0.0,,0.0,16.0,16.0,0.0,0.0,4.41,16.0,3.66,,42.0,68.0
genshin,원신,10000070,닐루,,Nilou,5,5성,Water,WEAPON_SWORD_ONE_HAND,False,1665759600.0,2022-10-14T15:00:00+00:00,,,,,,닐루,2,True,True,1.0,1.0,7.59,29.0,29.0,0.0,0.0,8.0,30.0,3.66,-2.66,40.0,45.0
genshin,원신,10000071,사이노,,Cyno,5,5성,Electric,WEAPON_POLE,False,1664226000.0,2022-09-26T21:00:00+00:00,,,,,,사이노,3,False,True,0.0,,0.0,41.0,40.0,0.0,1.0,11.31,41.0,3.66,,41.0,39.0
genshin,원신,10000072,캔디스,,Candace,4,4성,Water,WEAPON_POLE,False,1664226000.0,2022-09-26T21:00:00+00:00,,,,,,캔디스,3,False,True,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,,,
genshin,원신,10000073,나히다,,Nahida,5,5성,Grass,WEAPON_CATALYST,False,1667253600.0,2022-10-31T22:00:00+00:00,,,,,,나히다,3,False,True,4.0,4.0,30.35,150.0,148.0,2.0,0.0,41.39,154.0,3.66,0.34,39.0,12.0
genshin,원신,10000074,레일라,,Layla,4,4성,Ice,WEAPON_SWORD_ONE_HAND,False,1668787200.0,2022-11-18T16:00:00+00:00,,,,,,레일라,3,False,True,0.0,,0.0,3.0,3.0,0.0,0.0,0.83,3.0,3.66,,,98.0
genshin,원신,10000075,방랑자,,Wanderer,5,5성,Wind,WEAPON_CATALYST,False,1670277600.0,2022-12-05T22:00:00+00:00,,,,,,방랑자,3,False,True,2.0,3.0,15.17,142.0,141.0,1.0,0.0,39.18,144.0,3.66,-0.66,38.0,14.0
genshin,원신,10000076,파루잔,,Faruzan,4,4성,Wind,WEAPON_BOW,False,1670277600.0,2022-12-05T22:00:00+00:00,,,,,,파루잔,3,False,True,0.0,,0.0,3.0,3.0,0.0,0.0,0.83,3.0,3.66,,,99.0
genshin,원신,10000077,요요,,Yaoyao,4,4성,Grass,WEAPON_POLE,False,1673906400.0,2023-01-16T22:00:00+00:00,,,,,,요요,2,True,True,0.0,,0.0,34.0,33.0,1.0,0.0,9.38,34.0,3.66,,,42.0
genshin,원신,10000078,알하이탐,,Alhaitham,5,5성,Grass,WEAPON_SWORD_ONE_HAND,False,1673906400.0,2023-01-16T22:00:00+00:00,,,,,,알하이탐,4,False,True,0.0,,0.0,10.0,10.0,0.0,0.0,2.76,10.0,3.66,,37.0,78.0
genshin,원신,10000079,데히야,,Dehya,5,5성,Fire,WEAPON_CLAYMORE,False,1677535200.0,2023-02-27T22:00:00+00:00,,,,,,데히야,3,False,True,0.0,,0.0,12.0,10.0,2.0,0.0,3.31,12.0,3.66,,36.0,74.0
genshin,원신,10000080,미카,,Mika,4,4성,Ice,WEAPON_POLE,False,1679414400.0,2023-03-21T16:00:00+00:00,,,,,,미카,2,True,True,0.0,,0.0,22.0,22.0,0.0,0.0,6.07,22.0,3.66,,,58.0
genshin,원신,10000081,카베,,Kaveh,4,4성,Grass,WEAPON_CLAYMORE,False,1683039600.0,2023-05-02T15:00:00+00:00,,,,,,카베,2,True,True,0.0,,0.0,1.0,1.0,0.0,0.0,0.28,1.0,3.66,,,110.0
genshin,원신,10000082,백출,,Baizhu,5,5성,Grass,WEAPON_CATALYST,False,1683039600.0,2023-05-02T15:00:00+00:00,,,,,,백출,2,True,True,0.0,,0.0,29.0,29.0,0.0,0.0,8.0,29.0,3.66,,35.0,46.0
genshin,원신,10000083,리넷,,Lynette,4,4성,Wind,WEAPON_SWORD_ONE_HAND,False,1692046800.0,2023-08-14T21:00:00+00:00,,,,,,리넷,2,True,True,0.0,,0.0,28.0,27.0,1.0,0.0,7.73,28.0,3.66,,,48.0
genshin,원신,10000084,리니,,Lyney,5,5성,Fire,WEAPON_BOW,False,1692046800.0,2023-08-14T21:00:00+00:00,,,,,,리니,2,True,True,3.0,1.33,22.76,69.0,68.0,1.0,0.0,19.04,72.0,3.66,-2.33,34.0,30.0
genshin,원신,10000085,프레미네,,Freminet,4,4성,Ice,WEAPON_CLAYMORE,False,1693926000.0,2023-09-05T15:00:00+00:00,,,,,,프레미네,4,False,True,0.0,,0.0,5.0,5.0,0.0,0.0,1.38,5.0,3.66,,,92.0
genshin,원신,10000086,라이오슬리,,Wriothesley,5,5성,Ice,WEAPON_CATALYST,False,1697554800.0,2023-10-17T15:00:00+00:00,,,,,,라이오슬리,5,False,True,2.0,3.0,15.17,33.0,33.0,0.0,0.0,9.1,35.0,3.66,-0.66,32.0,40.0
genshin,원신,10000087,느비예트,,Neuvillette,5,5성,Water,WEAPON_CATALYST,False,1695675600.0,2023-09-25T21:00:00+00:00,,,,,,느비예트,4,False,True,1.0,4.0,7.59,69.0,68.0,1.0,0.0,19.04,70.0,3.66,0.34,33.0,31.0
genshin,원신,10000088,샤를로트,,Charlotte,4,4성,Ice,WEAPON_CATALYST,False,1699308000.0,2023-11-06T22:00:00+00:00,,,,,,샤를로트,4,False,True,0.0,,0.0,24.0,24.0,0.0,0.0,6.62,24.0,3.66,,,55.0
genshin,원신,10000089,푸리나,,Furina,5,5성,Water,WEAPON_SWORD_ONE_HAND,False,1699308000.0,2023-11-06T22:00:00+00:00,,,,,,푸리나,3,False,True,11.0,4.64,83.46,88.0,83.0,5.0,0.0,24.28,99.0,3.66,0.98,31.0,21.0
genshin,원신,10000090,슈브르즈,,Chevreuse,4,4성,Fire,WEAPON_POLE,False,1704816000.0,2024-01-09T16:00:00+00:00,,,,,,슈브르즈,4,False,True,0.0,,0.0,7.0,7.0,0.0,0.0,1.93,7.0,3.66,,,83.0
genshin,원신,10000091,나비아,,Navia,5,5성,Rock,WEAPON_CLAYMORE,False,1702936800.0,2023-12-18T22:00:00+00:00,,,,,,나비아,3,False,True,0.0,,0.0,24.0,24.0,0.0,0.0,6.62,24.0,3.66,,30.0,56.0
genshin,원신,10000092,가명,,Gaming,4,4성,Fire,WEAPON_CLAYMORE,False,1706565600.0,2024-01-29T22:00:00+00:00,,,,,,가명,2,True,True,0.0,,0.0,4.0,4.0,0.0,0.0,1.1,4.0,3.66,,,94.0
genshin,원신,10000093,한운,,Xianyun,5,5성,Wind,WEAPON_CATALYST,False,1706565600.0,2024-01-29T22:00:00+00:00,,,,,,한운,2,True,True,0.0,,0.0,3.0,3.0,0.0,0.0,0.83,3.0,3.66,,29.0,100.0
genshin,원신,10000094,치오리,,Chiori,5,5성,Rock,WEAPON_SWORD_ONE_HAND,False,1710194400.0,2024-03-11T22:00:00+00:00,,,,,,치오리,3,False,True,0.0,,0.0,11.0,11.0,0.0,0.0,3.03,11.0,3.66,,28.0,75.0
genshin,원신,10000095,시그윈,,Sigewinne,5,5성,Water,WEAPON_BOW,False,1719414000.0,2024-06-26T15:00:00+00:00,,,,,,시그윈,3,False,True,0.0,,0.0,17.0,17.0,0.0,0.0,4.69,17.0,3.66,,25.0,66.0
genshin,원신,10000096,아를레키노,,Arlecchino,5,5성,Fire,WEAPON_POLE,False,1713819600.0,2024-04-22T21:00:00+00:00,,,,,,아를레키노,5,False,True,1.0,5.0,7.59,86.0,85.0,1.0,0.0,23.73,87.0,3.66,1.34,27.0,26.0
genshin,원신,10000097,세토스,,Sethos,4,4성,Electric,WEAPON_BOW,False,1717448400.0,2024-06-03T21:00:00+00:00,,,,,,세토스,3,False,True,0.0,,0.0,6.0,6.0,0.0,0.0,1.66,6.0,3.66,,,87.0
genshin,원신,10000098,클로린드,,Clorinde,5,5성,Electric,WEAPON_SWORD_ONE_HAND,False,1717448400.0,2024-06-03T21:00:00+00:00,,,,,,클로린드,4,False,True,1.0,4.0,7.59,14.0,14.0,0.0,0.0,3.86,15.0,3.66,0.34,26.0,71.0
genshin,원신,10000099,에밀리,,Emilie,5,5성,Grass,WEAPON_POLE,False,1722956400.0,2024-08-06T15:00:00+00:00,,,,,,에밀리,3,False,True,1.0,1.0,7.59,5.0,5.0,0.0,0.0,1.38,6.0,3.66,-2.66,24.0,88.0
genshin,원신,10000100,카치나,,Kachina,4,4성,Rock,WEAPON_POLE,False,1724706000.0,2024-08-26T21:00:00+00:00,,,,,,카치나,3,False,True,0.0,,0.0,3.0,2.0,1.0,0.0,0.83,3.0,3.66,,,101.0
genshin,원신,10000101,키니치,,Kinich,5,5성,Grass,WEAPON_CLAYMORE,False,1726585200.0,2024-09-17T15:00:00+00:00,,,,,,키니치,3,False,True,4.0,3.0,30.35,20.0,19.0,1.0,0.0,5.52,24.0,3.66,-0.66,22.0,57.0
genshin,원신,10000102,말라니,,Mualani,5,5성,Water,WEAPON_CATALYST,False,1724706000.0,2024-08-26T21:00:00+00:00,,,,,,말라니,3,False,True,1.0,5.0,7.59,20.0,20.0,0.0,0.0,5.52,21.0,3.66,1.34,23.0,59.0
genshin,원신,10000103,실로닌,,Xilonen,5,5성,Rock,WEAPON_SWORD_ONE_HAND,False,1728334800.0,2024-10-07T21:00:00+00:00,,,,,,실로닌,3,False,True,0.0,,0.0,8.0,8.0,0.0,0.0,2.21,8.0,3.66,,21.0,80.0
genshin,원신,10000104,차스카,,Chasca,5,5성,Wind,WEAPON_BOW,False,1731967200.0,2024-11-18T22:00:00+00:00,,,,,,차스카,3,False,True,1.0,4.0,7.59,27.0,27.0,0.0,0.0,7.45,28.0,3.66,0.34,20.0,49.0
genshin,원신,10000105,올로룬,,Ororon,4,4성,Electric,WEAPON_BOW,False,1731967200.0,2024-11-18T22:00:00+00:00,,,,,,올로룬,3,False,True,0.0,,0.0,19.0,19.0,0.0,0.0,5.24,19.0,3.66,,,62.0
genshin,원신,10000106,마비카,,Mavuika,5,5성,Fire,WEAPON_CLAYMORE,False,1735596000.0,2024-12-30T22:00:00+00:00,,,,,,마비카,3,False,True,4.0,3.0,30.35,90.0,90.0,0.0,0.0,24.83,94.0,3.66,-0.66,18.0,23.0
genshin,원신,10000107,시틀라리,,Citlali,5,5성,Ice,WEAPON_CATALYST,False,1735596000.0,2024-12-30T22:00:00+00:00,,,,,,시틀라리,4,False,True,1.0,3.0,7.59,113.0,111.0,1.0,1.0,31.18,114.0,3.66,-0.66,19.0,17.0
genshin,원신,10000108,남연,,Lan Yan,4,4성,Wind,WEAPON_CATALYST,False,1737475200.0,2025-01-21T16:00:00+00:00,,,,,,남연,2,True,True,0.0,,0.0,7.0,7.0,0.0,0.0,1.93,7.0,3.66,,,84.0
genshin,원신,10000109,유메미즈키 미즈키,,Yumemizuki Mizuki,5,5성,Wind,WEAPON_CATALYST,False,1739224800.0,2025-02-10T22:00:00+00:00,,,,,,유메미즈키 미즈키,9,False,True,0.0,,0.0,1.0,1.0,0.0,0.0,0.28,1.0,3.66,,17.0,111.0
genshin,원신,10000110,얀사,,Iansan,4,4성,Electric,WEAPON_POLE,False,1742853600.0,2025-03-24T22:00:00+00:00,,,,,,얀사,2,True,True,0.0,,0.0,5.0,5.0,0.0,0.0,1.38,5.0,3.66,,,93.0
genshin,원신,10000111,바레사,,Varesa,5,5성,Electric,WEAPON_CATALYST,False,1742853600.0,2025-03-24T22:00:00+00:00,,,,,,바레사,3,False,True,0.0,,0.0,26.0,26.0,0.0,0.0,7.17,26.0,3.66,,16.0,51.0
genshin,원신,10000112,에스코피에,,Escoffier,5,5성,Ice,WEAPON_POLE,False,1746478800.0,2025-05-05T21:00:00+00:00,,,,,,에스코피에,5,False,True,0.0,,0.0,74.0,73.0,0.0,1.0,20.42,74.0,3.66,,15.0,29.0
genshin,원신,10000113,이파,,Ifa,4,4성,Wind,WEAPON_CATALYST,False,1746478800.0,2025-05-05T21:00:00+00:00,,,,,,이파,2,True,True,5.0,3.6,37.94,11.0,11.0,0.0,0.0,3.03,16.0,3.66,-0.06,,69.0
genshin,원신,10000114,스커크,,Skirk,5,5성,Ice,WEAPON_SWORD_ONE_HAND,False,1750107600.0,2025-06-16T21:00:00+00:00,,,,,,스커크,3,False,True,4.0,4.0,30.35,124.0,124.0,0.0,0.0,34.21,128.0,3.66,0.34,14.0,16.0
genshin,원신,10000115,달리아,,Dahlia,4,4성,Water,WEAPON_SWORD_ONE_HAND,False,1750107600.0,2025-06-16T21:00:00+00:00,,,,,,달리아,3,False,True,0.0,,0.0,8.0,8.0,0.0,0.0,2.21,8.0,3.66,,,81.0
genshin,원신,10000116,이네파,,Ineffa,5,5성,Electric,WEAPON_POLE,False,1753736400.0,2025-07-28T21:00:00+00:00,,,,,,이네파,3,False,True,3.0,4.0,22.76,80.0,78.0,2.0,0.0,22.07,83.0,3.66,0.34,13.0,27.0
genshin,원신,10000119,라우마,,Lauma,5,5성,Grass,WEAPON_CATALYST,False,1757365200.0,2025-09-08T21:00:00+00:00,,,,,,라우마,3,False,True,2.0,5.0,15.17,90.0,90.0,0.0,0.0,24.83,92.0,3.66,1.34,12.0,24.0
