game,name_ko,review_id,title,content,rating,at,app_version
genshin,원신,13449563118,굿,베리굿,5,2025-11-27T22:42:03-07:00,6.1.0
genshin,원신,13448871070,스토리 스킵 만들어라 제발 좀,아오 더럽게 재미없고 유치하고 읽기 싫다고,3,2025-11-27T17:28:30-07:00,6.1.0
genshin,원신,13442497856,다운로드가 끊겨요,풀 버젼을 다운로드 할려고 하면 60%에서 계속 끈어져요. 고쳐주세요,1,2025-11-26T02:02:56-07:00,6.1.0
genshin,원신,13442365005,버그,임무 진행하다가 버그 생기는데 노드크라이에서 망치 부수고 올라갈 방법 찾을 때 망치 안부숴져있어서 내내 찾다가 도저히 답이 안보여서 껐다가 켰음...  임무 복구안돼서 다시 임무 진행하니 버그 없어짐; ㅜ 이후에 나오는 임무도 버그 걸려서 다음걸로 안넘어감 또 끔... 용량 커서 그런가 아쉬움,4,2025-11-26T01:02:56-07:00,6.1.0
genshin,원신,13434408924,초창기부터 했었던 유저인데,"원신한지 5년 됐음
처음엔 꽤 재밌었음 진짜 판타지 같고
모험하는 재미도 있고
근데 점점 내가 원하던 모습과는 달라짐
결국 지금은 옆 동네로 넘어갔지만
가끔은 추억으로 들어감
퀄리티는 진짜 좋다고 생각한다",4,2025-11-23T22:12:43-07:00,6.1.0
genshin,원신,13427251721,다들.. 최근에 난리났네요,"옛날에 하다가 지우고,하다가 지우고,몇달(거의 6월인가?) 전부터 다시 새롭게 시작하던 여행자입니다! 원신 5주년 맞이했다는 매일을 맡으니 정말 오래됬구나.. 라는 생각도 들고 정말 좋은 게임이었어요. 근데 무슨.. 저장공간 차지하고 뭐라나… 저장공간 없으면 어쩌라는거지? 그럼 안하면 되지않나? 난 재미있는데.. 무슨.. 캐릭터가 쉽게 뽑으면 재미있나? 막.. 힘들게 모아서 뽑으면 성쾨함? 같은게 있잖아.. 난 언제나 응원할거야. 원신은 나에겐 재미를 주니깐! 몇칠 뒤에 나오는 두린! 얼른 뽑고 싶네요!",5,2025-11-22T02:32:48-07:00,6.1.0
genshin,원신,13426718506,:D..,"안녕하세요오..~원신 시작한지 얼마안된 뉴비입니다~일단 제가 왜 이 게임을 모르고 있었는지 후회가 됩니다….제가 이 게임을 시작하게된 계기가 친구의 조언으로부터 시작하게 된건데요. 처음에는 다운로드도 오래걸리고 스토리도 영 이해가 안 가서 중간에 때려칠려고 했지만 꾹 참고 했습니다.
계속해서 하다보니 캐릭터들의 개성과 스토리를 차차 알아가게 되더라구요.
제가 해 본 모바일게임 중에서 굉장히 재밌고 시간 가는줄 모르고 했던 게임인거같네요…
어쨌든 감사합니다~

(나히다 언제 복각하나요……….ㅜ)",5,2025-11-21T22:50:53-07:00,6.1.0
genshin,원신,13416646679,계정없어짐,복귀해서 불과 며칠전까지 제 계정 있었는데 지웠다가 다시까니까 왜 다시 초기화됐죠? 튜토리얼 넘기기라도 하면좋은데 그런거도없고 언제 다시하나요,3,2025-11-19T06:11:04-07:00,6.1.0
genshin,원신,13412972391,좋았따,"정말로 재미있게 하고있었고 프리나 5성 한정 뽑기가 떠 해보았지만 실패해 지나가던 친구에게 싸커킥을 날리고 접었습니다
정말로 갓겜임니다",5,2025-11-18T06:26:28-07:00,6.1.0
genshin,원신,13400382153,어쩔 수 없이 돌아오는 게임,ㄹㅇ 갓겜,5,2025-11-15T03:17:01-07:00,6.1.0
genshin,원신,13387428014,최고의 게임,젤다 시리즈 총 플레이 시간 4000시간 유저인데 희안하게 젤다 보다 전투가 재미있고 스토리는 더 세세해요,5,2025-11-11T21:15:53-07:00,6.1.0
genshin,원신,13371881003,후회없는 겜,"원신은 제 친구가 추천해서 하게 되었는데 너무 재밌음 현질해도 후회없음 넘 갓겜이여서 매일 해도 질리지도 않음 권태기는 살짝 오지만;; 넘 재밌음
재밋으면 됨 ㅎ ㅏ ㅎ ㅏ",5,2025-11-08T04:41:16-07:00,6.1.0
genshin,원신,13368502243,게임은 괜찮은데,"진짜 운영 꼬라지가 최악임
해달라는건 다 안해주네 뭐 유료재화를 달란것도 아니고 편의성패치 딸깍 좀 해달라는건데 이게임을 2년을 했지만 진짜 정신좀 차리세요",1,2025-11-07T08:44:37-07:00,6.1.0
genshin,원신,13362612632,게임 접게되면서 후기 남깁니다.,"3버전에 입문했고 중간에 접은적 없이 매일 출석 + 공월, 기행 끊기지 않음 + 초회결제와 필요할때마다 조금씩 추가 결제 정도의 과금을 하고있었고 완전히 접게되면서 리뷰 남깁니다.

현재 젠존제, 붕스도 거의 동일 수준으로 과금하고있으나 원신은 최근 업데이트가 진행될수록 불쾌한 방식으로 엔드컨텐츠의 장벽이 높아져서 암묵적으로 더 많은 과금을 유도하고 있는것 같아 완전히 접었습니다.
(젠존제, 붕스도 비슷한 양상이 있지만 아직까지는 만족스럽게 플레이하고있음)

1. 환상극: 기존 최고난이도도 넓은 캐릭풀을 요구하여 불필요하게 급격히 많은 성장재화를 소모하게 했습니다. 이후 더 높은 난이도를 개방하여 캐릭풀 커버가 불가능해져서 이제는 보상을 다 받아가지도 못하게 되었습니다.

2. 나선비경: 나타 이후로 접대 기믹이 상당히 불쾌해졌습니다. 특정 캐릭터가 없고 돌파가 되어있지 않은경우 온몸비틀기를 해야 올클리어가 가능해졌습니다.

3. 지맥제압전: 나선비경보다 접대가 더 심하고 올클리어는 돌파의 영역인것 같습니다.

4. 별바다세계: 이건 대체 뭡니까... 아마 따로 냈다면 즐겁게 했을지도 모르겠습니다만 모든유저가 여유로운 저장공간을 가진게 아니기도하고 관심 여부와 관계없이 동의도 구하지않고 dlc를 강매당한 기분입니다.

5. 전무획득: 솔직히 형제게임은 전무를 곧잘뽑고싶게 설계되었는데, 원신의 전무 획득시스템은 역겹습니다.

6. 성유물: 성유물 정리하는 방식도 여전히 개선 여지가 많고, 또 젠존제, 붕스도 마찬가지이긴한데 성유물 주옵, 강화시 부옵마다 붙는 확률 다르죠?(커뮤니티에서 돌린 통계 참고했습니다.) 솔직히 이것도 상당히 불쾌한 부분이긴 합니다.

덧붙여서 엔드컨텐츠 문턱이 높아진 문제는 그전까지 고난도 컨텐츠를 안낼것처럼 하다가 단기간에 와르르 내버린게 문제가 아닌가 싶습니다. 조금만더 점진적으로 진행했다면 적응할만 했을텐데요...

원신의 스토리는 아직까지도 매우 좋아하고있으며 노드크라이에서의 스토리도 게임은 접었지만 스트리머의 풀영상을 통해 보고있습니다.
솔직히 이미 접은 지금 상황에서 게임 운영의 개선은 기대안합니다. 개선된다해도 복귀를 위한 관성때문에 더 많은 과금이 필요할테니 복귀 의향도없구요.

뒤늦게 3버전부터 시작하긴 했지만 다른 유저를 놓치지 않기 위해서라도 하루도빠짐없이 충성하며 플레이하던 유저가 어떻게 떠났는지 읽어주셨으면좋겠네요
직접 의견을 전달할 채널이 있다면 알려주세요. 글을 복사해서 다시 전해드리겠습니다.",1,2025-11-05T23:23:11-07:00,6.1.0
genshin,원신,13345673133,내 운,재미있기는 한데 확율이 조금 그런가 같습니다.맨날 고봉밥만 많이 먹고 픽뚤은 맨날 당하고 근데 재밌잖아 한잖해~,5,2025-11-02T00:48:05-07:00,6.1.0
