date,name_ko,group,subscribers,recent_avg_views,recent_avg_engagement_rate,uploads_per_week,reach_ratio
2026-08-24,주르르,이세계아이돌,411000,83977.6,0.0602,1.69,0.204
2026-08-24,징버거,이세계아이돌,421000,131430.5,0.05195,4.06,0.312
2026-08-24,호쇼 마린,홀로라이브,4410000,822938.2,0.06758,9.23,0.187
2026-08-25,가우르 구라,홀로라이브,4610000,1256880.8,0.07275,0.8,0.273
2026-08-25,고세구,이세계아이돌,536000,85002.1,0.05822,4.32,0.159
2026-08-25,네네코 마시로,StelLive,181000,92863.1,0.04932,1.85,0.513
2026-08-25,릴파,이세계아이돌,427000,98626.1,0.06166,5.97,0.231
2026-08-25,모리 캘리오프,홀로라이브,2630000,201740.2,0.09206,4.83,0.077
2026-08-25,모모스즈 네네,홀로라이브,1330000,114707.1,0.08208,3.33,0.086
2026-08-25,비챤,이세계아이돌,325000,47262.0,0.08672,5.8,0.145
2026-08-25,사키하네 후야,StelLive,131000,112890.2,0.04356,3.38,0.862
2026-08-25,시라유키 히나,StelLive,319000,162379.7,0.0359,3.44,0.509
2026-08-25,아라하시 타비,StelLive,257000,165302.8,0.03648,3.76,0.643
2026-08-25,아야츠노 유니,StelLive,359000,125307.0,0.03715,2.74,0.349
2026-08-25,아이네,이세계아이돌,358000,136448.1,0.049,1.75,0.381
2026-08-25,아카네 리제,StelLive,351000,215309.7,0.04172,5.21,0.613
2026-08-25,우사다 페코라,홀로라이브,2790000,239654.4,0.05077,7.52,0.086
2026-08-25,이누가미 코로네,홀로라이브,2280000,196632.1,0.06017,3.9,0.086
2026-08-25,주르르,이세계아이돌,411000,83136.1,0.06443,1.69,0.202
2026-08-25,징버거,이세계아이돌,421000,107340.6,0.05416,3.83,0.255
2026-08-25,호쇼 마린,홀로라이브,4410000,837974.5,0.06702,9.23,0.19
2026-08-26,가우르 구라,홀로라이브,4610000,1257337.3,0.07275,0.8,0.273
2026-08-26,고세구,이세계아이돌,536000,80835.9,0.06338,3.9,0.151
2026-08-26,네네코 마시로,StelLive,181000,93159.5,0.04924,1.85,0.515
2026-08-26,릴파,이세계아이돌,427000,98038.4,0.06308,5.97,0.23
2026-08-26,모리 캘리오프,홀로라이브,2630000,195998.4,0.09196,5.08,0.075
2026-08-26,모모스즈 네네,홀로라이브,1330000,114950.8,0.08191,3.33,0.086
2026-08-26,비챤,이세계아이돌,325000,47582.7,0.08632,5.8,0.146
2026-08-26,사키하네 후야,StelLive,131000,114975.7,0.04443,3.38,0.878
2026-08-26,시라유키 히나,StelLive,319000,164492.6,0.03683,3.44,0.516
2026-08-26,아라하시 타비,StelLive,258000,168080.2,0.03829,3.76,0.651
2026-08-26,아야츠노 유니,StelLive,359000,125918.8,0.03706,2.74,0.351
2026-08-26,아이네,이세계아이돌,358000,136773.5,0.04893,1.75,0.382
2026-08-26,아카네 리제,StelLive,351000,219280.2,0.04126,5.21,0.625
2026-08-26,우사다 페코라,홀로라이브,2790000,224847.8,0.05023,7.81,0.081
2026-08-26,이누가미 코로네,홀로라이브,2280000,196898.7,0.0601,3.9,0.086
2026-08-26,주르르,이세계아이돌,411000,84369.1,0.06196,1.69,0.205
2026-08-26,징버거,이세계아이돌,421000,103038.8,0.0559,3.83,0.245
2026-08-26,호쇼 마린,홀로라이브,4410000,802587.7,0.06626,7.52,0.182
2026-08-28,가우르 구라,홀로라이브,4610000,1257935.9,0.07274,0.8,0.273
2026-08-28,고세구,이세계아이돌,536000,83027.2,0.06027,4.41,0.155
2026-08-28,네네코 마시로,StelLive,181000,93581.3,0.04905,1.85,0.517
2026-08-28,릴파,이세계아이돌,427000,93884.2,0.06615,5.97,0.22
2026-08-28,모리 캘리오프,홀로라이브,2630000,193073.4,0.09313,4.95,0.073
2026-08-28,모모스즈 네네,홀로라이브,1330000,121238.9,0.0791,3.08,0.091
2026-08-28,비챤,이세계아이돌,325000,48338.1,0.08369,5.21,0.149
2026-08-28,사키하네 후야,StelLive,131000,116161.5,0.04384,3.38,0.887
2026-08-28,시라유키 히나,StelLive,319000,166858.4,0.03597,3.44,0.523
2026-08-28,아라하시 타비,StelLive,258000,168938.2,0.0368,3.76,0.655
2026-08-28,아야츠노 유니,StelLive,359000,126725.4,0.03689,2.74,0.353
2026-08-28,아이네,이세계아이돌,358000,137134.4,0.04881,1.75,0.383
2026-08-28,아카네 리제,StelLive,351000,224818.3,0.04039,5.21,0.641
2026-08-28,우사다 페코라,홀로라이브,2790000,236595.1,0.04915,7.25,0.085
2026-08-28,이누가미 코로네,홀로라이브,2280000,197312.6,0.05996,3.9,0.087
2026-08-28,주르르,이세계아이돌,410000,81375.6,0.06247,1.68,0.198
2026-08-28,징버거,이세계아이돌,421000,104639.6,0.05504,3.83,0.249
2026-08-28,호쇼 마린,홀로라이브,4410000,819119.7,0.06545,7.52,0.186
2026-08-29,가우르 구라,홀로라이브,4610000,1258936.2,0.07273,0.8,0.273
2026-08-29,고세구,이세계아이돌,536000,87854.5,0.05832,4.72,0.164
2026-08-29,네네코 마시로,StelLive,182000,98517.9,0.04937,1.78,0.541
2026-08-29,릴파,이세계아이돌,427000,92155.2,0.06145,6.15,0.216
2026-08-29,모리 캘리오프,홀로라이브,2630000,208641.8,0.08967,4.83,0.079
2026-08-29,모모스즈 네네,홀로라이브,1330000,124979.0,0.07673,3.03,0.094
2026-08-29,비챤,이세계아이돌,325000,50446.3,0.08273,5.21,0.155
2026-08-29,사키하네 후야,StelLive,131000,115910.7,0.04254,3.44,0.885
2026-08-29,시라유키 히나,StelLive,319000,163755.8,0.03582,3.38,0.513
2026-08-29,아라하시 타비,StelLive,258000,172802.3,0.03591,3.76,0.67
2026-08-29,아야츠노 유니,StelLive,359000,128017.2,0.03604,2.71,0.357
2026-08-29,아이네,이세계아이돌,358000,137793.9,0.04862,1.75,0.385
2026-08-29,아카네 리제,StelLive,352000,224983.9,0.03868,5.08,0.639
2026-08-29,우사다 페코라,홀로라이브,2790000,266421.4,0.04634,7.52,0.095
2026-08-29,이누가미 코로네,홀로라이브,2280000,202015.7,0.05852,3.44,0.089
2026-08-29,주르르,이세계아이돌,410000,82049.9,0.0642,1.81,0.2
2026-08-29,징버거,이세계아이돌,420000,107234.4,0.05323,3.9,0.255
2026-08-29,호쇼 마린,홀로라이브,4410000,852963.5,0.06319,7.25,0.193
2026-08-30,가우르 구라,홀로라이브,4600000,1259426.4,0.07272,0.8,0.274
2026-08-30,고세구,이세계아이돌,536000,93760.5,0.05596,4.72,0.175
2026-08-30,네네코 마시로,StelLive,182000,105933.6,0.04764,1.81,0.582
2026-08-30,릴파,이세계아이돌,427000,95449.9,0.06018,6.15,0.224
2026-08-30,모리 캘리오프,홀로라이브,2630000,191231.4,0.08673,5.64,0.073
2026-08-30,모모스즈 네네,홀로라이브,1330000,126227.0,0.07642,3.03,0.095
2026-08-30,비챤,이세계아이돌,325000,52208.6,0.08082,4.95,0.161
2026-08-30,사키하네 후야,StelLive,131000,112174.4,0.04159,3.56,0.856
2026-08-30,시라유키 히나,StelLive,319000,165559.3,0.03548,3.38,0.519
2026-08-30,아라하시 타비,StelLive,258000,156103.4,0.0354,3.76,0.605
2026-08-30,아야츠노 유니,StelLive,359000,129103.1,0.03591,2.71,0.36
2026-08-30,아이네,이세계아이돌,358000,138199.6,0.04851,1.75,0.386
2026-08-30,아카네 리제,StelLive,352000,210620.7,0.03771,5.08,0.598
2026-08-30,우사다 페코라,홀로라이브,2790000,325960.0,0.04539,7.25,0.117
2026-08-30,이누가미 코로네,홀로라이브,2280000,203432.0,0.05832,3.44,0.089
2026-08-30,주르르,이세계아이돌,410000,83428.6,0.06314,1.81,0.203
2026-08-30,징버거,이세계아이돌,420000,109067.3,0.05267,3.9,0.26
2026-08-30,호쇼 마린,홀로라이브,4410000,856489.8,0.06315,7.81,0.194
