rank_in_cohort,group,cohort,generation,debut_date,channel_id,name_ko,name_en,unit,months_since_debut,subscribers,total_views,video_count,subs_per_month,recent_avg_views,recent_avg_engagement_rate,uploads_per_week,reach_ratio
9,홀로라이브,2023 데뷔,DEV_IS ReGLOSS,2023-09-09,UCMGfV7TVTmHhEErVJg1oHBQ,히오도시 아오,Hiodoshi Ao,,36.3,721000,118919054,585,19842.2,611299.1,0.06668,1.08,0.848
10,StelLive,2024 데뷔,3기 CLICHE,2024-05-18,UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린,Aokumo Rin,CLICHE,28.1,284000,190900105,445,10122.1,140196.1,0.03441,4.14,0.494
11,StelLive,2024 데뷔,3기 CLICHE,2024-05-18,UCYxLMfeX1CbMBll9MsGlzmw,텐코 시부키,Tenko Shibuki,CLICHE,28.1,230000,200160649,628,8197.5,214967.3,0.03474,5.8,0.935
12,StelLive,2024 데뷔,3기 CLICHE,2024-05-19,UCj0c1jUr91dTetIQP2pFeLA,유즈하 리코,Yuzuha Riko,CLICHE,28.0,222000,186988274,577,7921.6,253016.5,0.03549,4.61,1.14
13,StelLive,2024 데뷔,3기 CLICHE,2024-05-19,UCcA21_PzN1EhNe7xS4MJGsQ,하나코 나나,Hanako Nana,CLICHE,28.0,207000,160645802,502,7386.4,191903.9,0.03678,6.55,0.927
1,홀로라이브,2024 데뷔,DEV_IS FLOW GLOW,2024-11-09,UCjk2nKmHzgH5Xy-C5qYRd5A,미즈미야 스,Mizumiya Su,,22.3,738000,234144807,1127,33082.3,200109.6,0.07047,14.5,0.271
2,홀로라이브,2024 데뷔,DEV_IS FLOW GLOW,2024-11-09,UCGzTVXqMQHa4AgJVJIVvtDQ,키키라라 비비,Kikirara Vivi,,22.3,736000,268535160,1194,32992.6,166215.4,0.06377,18.45,0.226
3,홀로라이브,2024 데뷔,EN Justice,2024-06-21,UCl69AEx4MdqMZH7Jtsm7Tig,라오라 판테라,Raora Panthera,,26.9,686000,64128095,540,25463.6,105053.0,0.08612,3.5,0.153
4,홀로라이브,2024 데뷔,EN Justice,2024-06-21,UCW5uhrG1eCBYditmhL0Ykjw,엘리자베스 로즈 블러드플레임,Elizabeth Rose Bloodflame,,26.9,653000,43655430,331,24238.6,60057.0,0.11458,1.83,0.092
5,홀로라이브,2024 데뷔,DEV_IS FLOW GLOW,2024-11-09,UCuI_opAVX6qbxZY-a-AxFuQ,코가네이 니코,Koganei Niko,,22.3,652000,309657260,799,29227.2,261750.1,0.06099,4.72,0.401
6,홀로라이브,2024 데뷔,DEV_IS FLOW GLOW,2024-11-09,UCKMWFR6lAstLa7Vbf5dH7ig,린도 치하야,Rindo Chihaya,,22.3,615000,93804939,802,27568.6,137322.5,0.05328,8.83,0.223
7,홀로라이브,2024 데뷔,EN Justice,2024-06-21,UCDHABijvPBnJm7F-KlNME3w,기기 뮤린,Gigi Murin,,26.9,600000,65915776,547,22271.3,121781.4,0.06367,4.83,0.203
8,홀로라이브,2024 데뷔,EN Justice,2024-06-21,UCvN5h1ShZtc7nly3pezRayg,세실리아 이머그린,Cecilia Immergreen,,26.9,539000,51412360,456,20007.1,149585.8,0.08914,1.71,0.278
9,홀로라이브,2024 데뷔,DEV_IS FLOW GLOW,2024-11-09,UC9LSiN9hXI55svYEBrrK-tw,이사키 리오나,Isaki Riona,,22.3,528000,123993190,894,23668.6,147714.4,0.05933,8.83,0.28
1,StelLive,2025 데뷔,1기 EVERYS(신규),2025-09-20,UC0YQnenKBCu5sGb7H61n6HA,사키하네 후야,Sakihane Huya,EVERYS,12.0,135000,53700636,340,11288.6,131336.8,0.03879,3.56,0.973
