corp_name,side,first_year,last_year,n_years,revenue_last_b,op_last_b,op_margin_last,op_margin_min,op_margin_max,revenue_x,revenue_cagr,streak,loss_years
NAVER,플랫폼,2016,2025,10,120350,22081,0.1834762828591027,0.1076940829445517,0.2739602150587583,2.99,0.1295,10,0
SOOP,플랫폼,2016,2025,10,4666,1248,0.2675705125539638,0.1937862402928574,0.3409942679966937,5.84,0.2167,10,0
샌드박스네트워크,IP 회사,2018,2025,8,731,-43,-0.0584163669148526,-0.2194089304499325,-0.0584163669148526,2.59,0.1458,-8,8
패러블엔터테인먼트,IP 회사,2024,2025,2,218,-91,-0.4167597323947515,-0.4167597323947515,0.0579651455894762,1.04,0.0418,-1,1
