corp_code,corp_name,bsns_year,fs_div,reprt_code,status,status_msg,n_rows
00399694,SOOP,2019,OFS,11011,000,정상,201
00399694,SOOP,2020,CFS,11011,000,정상,244
00399694,SOOP,2020,OFS,11011,000,정상,165
00399694,SOOP,2021,CFS,11011,000,정상,227
00399694,SOOP,2021,OFS,11011,000,정상,153
00399694,SOOP,2022,CFS,11011,000,정상,215
00399694,SOOP,2022,OFS,11011,000,정상,152
00399694,SOOP,2023,CFS,11011,000,정상,217
00399694,SOOP,2023,OFS,11011,000,정상,144
00399694,SOOP,2024,CFS,11011,000,정상,247
00399694,SOOP,2024,OFS,11011,000,정상,154
00399694,SOOP,2025,CFS,11011,000,정상,251
00399694,SOOP,2025,OFS,11011,000,정상,145
00266961,NAVER,2016,CFS,11011,000,정상,218
00266961,NAVER,2016,OFS,11011,000,정상,163
00266961,NAVER,2017,CFS,11011,000,정상,215
00266961,NAVER,2017,OFS,11011,000,정상,143
00266961,NAVER,2018,CFS,11011,000,정상,208
00266961,NAVER,2018,OFS,11011,000,정상,143
00266961,NAVER,2019,CFS,11011,000,정상,219
00266961,NAVER,2019,OFS,11011,000,정상,151
00266961,NAVER,2020,CFS,11011,000,정상,224
00266961,NAVER,2020,OFS,11011,000,정상,143
00266961,NAVER,2021,CFS,11011,000,정상,243
00266961,NAVER,2021,OFS,11011,000,정상,151
00266961,NAVER,2022,CFS,11011,000,정상,222
00266961,NAVER,2022,OFS,11011,000,정상,141
00266961,NAVER,2023,CFS,11011,000,정상,197
00266961,NAVER,2023,OFS,11011,000,정상,131
00266961,NAVER,2024,CFS,11011,000,정상,194
00266961,NAVER,2024,OFS,11011,000,정상,140
00266961,NAVER,2025,CFS,11011,000,정상,239
00266961,NAVER,2025,OFS,11011,000,정상,177
