rank,clip_channel_id,clip_channel_title,subs,clip_count,total_views,members_covered,primary_member
59,UCaZe24DH7CJ_ZCtrXfQwNkg,버츄얼키리누키,3660,1,5554,1,네네코 마시로
60,UCIYXLSh2rKevADzDQb89xGA,ばんちょー切り抜き堂【轟はじめ非公式】,141,3,5169,1,하나코 나나
61,UC--c7FfFKJIr1yP4FBH9eCQ,KR하꼬키리누키,256,1,5049,1,아야츠노 유니
62,UCYLA7O-YewkYHiZlx-LQGTw,일루와잇,60,2,3464,2,아카네 리제
63,UCPM2ejUGjA1m2E_Vf_UJrQw,Krypto137 - Indie vtuber clips,1600,1,2227,1,아야츠노 유니
64,UC2irKUKeYTYXTougdFhzycA,ささやかな風夜の星,10,8,2121,1,사키하네 후야
65,UCld7BuLzsDrtfCUA4Cd4TNA,야호꼬리,858,1,2106,1,아라하시 타비
66,UCwaQ4FrVroH8SmN5hakudxA,Akari Songs / あおぎり高校 石狩あかり 切り抜きch.【非公式】,3420,1,1219,1,아카네 리제
67,UCeux4WzKhicTD9Xifnr31eg,ExoticBankai,1420,1,985,1,텐코 시부키
68,UCUDAoCWuI1nZ6IeZfQ_-8jA,おうぼしたーの切り抜き動画,219,1,918,1,하나코 나나
69,UCBIft6nnA6gQcvQbarJmeMQ,스텔누키,1,1,678,1,네네코 마시로
70,UC-gDvVOlsycx6jes6VmCNRw,니지산지 마시로 클립계,137,1,624,1,유즈하 리코
71,UChmz0685GT9PyBCozZ2zCCw,kawayui,1660,1,498,1,시라유키 히나
72,UCU1-EdgAxmcj1HCu4bub9WQ,조선누룽지 NEWS Live,2370,1,467,1,하나코 나나
73,UCVcw-cv0bz1RwWnv1y8kCsA,歌動画【保管庫】,5480,1,423,1,아카네 리제
74,UC62Zg6_7T9QnEw51rWzMMhQ,후야의 컵라면,4,1,246,1,사키하네 후야
75,UC6lwhzvRhdVLrB8XHAavJ5Q,RIOT MUSIC Archive (Unofficial),772,1,148,1,시라유키 히나
76,UC8OVhDXm-ZB75UKYWbR3Eig,고누-ゴヌ,187,1,122,1,유즈하 리코
77,UC2UqTxq8rpIsrFgQGplKQ_w,ナタチア,238,1,97,1,아카네 리제
78,UCyTbsubNhFMPixcxkHabhdA,도시락,36,1,48,1,네네코 마시로
79,UCh5Wji0QcGYiQ17UH65jWfw,momiji ILM,184,1,38,1,아카네 리제
