channel_id,name_ko,song_key,title,video_id,n_versions,version_ids,published_at,views,likes,is_collab,topic_views,topic_video_ids,views_incl_topic
UCcA21_PzN1EhNe7xS4MJGsQ,하나코 나나,죄와벌,죄와 벌(罪と罰) [椎名林檎(시이나 링고)] / 하나코 나나 COVER,noKfckxJ2PU,1,noKfckxJ2PU,2026-02-17T11:00:06+00:00,623073,12020,False,0,,623073
UCj0c1jUr91dTetIQP2pFeLA,유즈하 리코,미소녀무죄파이레츠,미소녀무죄♡파이레츠 (美少女無罪♡パイレーツ) / 유즈하 리코 (Yuzuha Riko) cover,Tejq1P1TF-M,1,Tejq1P1TF-M,2025-09-21T09:00:06+00:00,621127,10558,False,0,,621127
UC7-m6jQLinZQWIbwm9W-1iw,아카네 리제,인스타에서알고리즘탄무반주발묘,인스타에서 알고리즘탄 무반주 발묘 / 출항(抜錨)｜아카네 리제 COVER #vtuber #cover,rE2ysuhZcfU,1,rE2ysuhZcfU,2025-12-11T09:01:29+00:00,613159,25014,False,0,,613159
UCcA21_PzN1EhNe7xS4MJGsQ,하나코 나나,논브레스오블리주,논브레스 오블리주 [ノンブレス・オブリージュ / ピノキオピー ] / 하나코 나나 COVER,YXIz7U42pgk,1,YXIz7U42pgk,2026-08-16T09:15:06+00:00,612978,15791,False,0,,612978
UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린,とんとんまえ,とんとんまーえ！(쿵쿵 앞-으로!) / 아오쿠모 린 x 텐코 시부키 Cover,hasPSCi2Q0g,1,hasPSCi2Q0g,2025-07-13T08:30:06+00:00,598269,11050,True,0,,598269
UCj0c1jUr91dTetIQP2pFeLA,유즈하 리코,우리쓰레기분리수거단,우리! 쓰레기 분리수거단 (我ら！ゴミ分別団) - 아오쿠모 린 x 유즈하 리코 (Aokumo Rin x Yuzuha Riko) Cover,MhdJaaEhiHc,1,MhdJaaEhiHc,2026-07-31T08:00:07+00:00,585558,14041,True,0,,585558
UCj0c1jUr91dTetIQP2pFeLA,유즈하 리코,악마가아닌걸,악마가 아닌걸 [DECO*27 x ピノキオピー] / 유즈하 리코 Yuzuha Riko x 네네코 마시로 Neneko Mashiro Cover,xKA5wKYMFhM,1,xKA5wKYMFhM,2026-05-28T09:00:07+00:00,569310,12580,True,0,,569310
UCAHVQ44O81aehLWfy9O6Elw,아라하시 타비,さよならまたいつか,"さよーならまたいつか！(안녕, 또 언젠가!) / 아라하시 타비 x 네네코 마시로 Cover",CmaLZo-DTlU,1,CmaLZo-DTlU,2024-11-30T07:59:06+00:00,558024,11001,True,0,,558024
UCcA21_PzN1EhNe7xS4MJGsQ,하나코 나나,summertime,Summertime [이터널 리턴 OST] / 하나코 나나 COVER,i5ZEIsWt0Fk,1,i5ZEIsWt0Fk,2025-07-11T10:05:27+00:00,550684,7109,False,0,,550684
UC1afpiIuBDcjYlmruAa0HiA,시라유키 히나,내일또보자,내일 또 보자(またあした) - ふわりP | 시라유키 히나 Cover,VTTQJNcmlD0,1,VTTQJNcmlD0,2026-06-10T13:30:06+00:00,543538,12712,False,0,,543538
UC_eeSpMBz8PG4ssdBPnP07g,네네코 마시로,병명상사병,병명 상사병(病名恋ワズライ)ㅣ네네코 마시로 Cover,bW_htBZ_emA,1,bW_htBZ_emA,2025-06-10T12:30:06+00:00,521739,6678,False,0,,521739
UCAHVQ44O81aehLWfy9O6Elw,아라하시 타비,밤새도록널생각해,밤새도록 널 생각해[夜もすがら君想ふ] - TOKOTOKOㅣ아라하시 타비 Cover,39_zaFVluAw,1,39_zaFVluAw,2026-06-20T10:59:06+00:00,507401,11745,False,0,,507401
UCj0c1jUr91dTetIQP2pFeLA,유즈하 리코,서머타임레코드,서머타임레코드 [サマータイムレコード / じん] / 유즈하 리코 (Yuzuha Riko) cover,dhudKbeIMJg,1,dhudKbeIMJg,2026-07-15T08:00:07+00:00,506934,13368,False,0,,506934
UC1afpiIuBDcjYlmruAa0HiA,시라유키 히나,크리스마스송,크리스마스 송(クリスマスソング) | 시라유키 히나 Cover,YorjOBy85ck,1,YorjOBy85ck,2025-12-25T11:00:07+00:00,504652,10672,False,0,,504652
UC7-m6jQLinZQWIbwm9W-1iw,아카네 리제,yoasobi,舞台に立って(무대에 서서) - YOASOBIㅣ아카네 리제(Akane Lize) 【COVER】,_t4OxKtCHrg,1,_t4OxKtCHrg,2026-06-11T12:45:06+00:00,499276,10888,False,0,,499276
UCAHVQ44O81aehLWfy9O6Elw,아라하시 타비,lady,아라하시 타비 3D Cover 米津玄師 - Lady,X_DtMlNxfrY,2,mdPLl3he6A0|X_DtMlNxfrY,2025-04-03T03:30:18+00:00,494483,16087,False,0,,494483
UC1afpiIuBDcjYlmruAa0HiA,시라유키 히나,mrsgreenapple,Mrs. GREEN APPLE - 춘수(春愁) | 시라유키 히나 Cover,yRKJ5-vcMUI,1,yRKJ5-vcMUI,2026-05-27T12:00:06+00:00,489920,9549,False,0,,489920
UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린,chocolatebox,chocolate box [dezzy(一億円P)] - 아오쿠모 린 x 아야츠노 유니 Cover,9a_qB79ntPQ,1,9a_qB79ntPQ,2026-02-14T10:30:06+00:00,480376,10010,True,0,,480376
UCAHVQ44O81aehLWfy9O6Elw,아라하시 타비,numberonerockstar,Number one rockstar [다영 DAYOUNG] - 아라하시 타비 Cover,e2Jn_8JWtNw,1,e2Jn_8JWtNw,2025-12-25T08:59:06+00:00,469986,8501,False,0,,469986
UCYxLMfeX1CbMBll9MsGlzmw,텐코 시부키,아빠라고더니생긴일,'아빠' 라고 불러봤더니 생긴 일,smy_LZQKlng,1,smy_LZQKlng,2026-07-10T09:30:16+00:00,467124,10059,False,0,,467124
UCcA21_PzN1EhNe7xS4MJGsQ,하나코 나나,kinggnu,[4K] 飛行艇(비행정) - King Gnu / 하나코 나나 3D Live Cover,Rkd03AguDJ4,2,Rkd03AguDJ4|8ysFVOFYvD4,2026-09-05T04:00:31+00:00,461076,15153,False,0,,461076
UC1afpiIuBDcjYlmruAa0HiA,시라유키 히나,아틀란티스소녀,아틀란티스 소녀 (Atlantis Princess) | 시라유키 히나 Cover,ekINzN4PQmo,1,ekINzN4PQmo,2026-09-01T12:45:07+00:00,459473,11015,False,0,,459473
UC7-m6jQLinZQWIbwm9W-1iw,아카네 리제,가면무도회,[4K] 가면무도회ㅣ아카네 리제(Akane Lize) Live Cover,O8p_SsnHGhM,1,O8p_SsnHGhM,2025-10-18T09:00:29+00:00,458383,7797,False,0,,458383
UCcA21_PzN1EhNe7xS4MJGsQ,하나코 나나,희극,희극 (Comedy) [喜劇 / 호시노 겐] / 하나코 나나 COVER,gkmnG2pWzys,1,gkmnG2pWzys,2026-08-07T12:00:06+00:00,452967,13403,False,0,,452967
UCAHVQ44O81aehLWfy9O6Elw,아라하시 타비,純恋愛のインゴット순연애의잉곳,아라하시 타비 3D Cover tuki. - 純恋愛のインゴット 순연애의 잉곳,D2x5OqKucoE,1,D2x5OqKucoE,2025-04-01T03:30:11+00:00,452126,14442,False,0,,452126
UCj0c1jUr91dTetIQP2pFeLA,유즈하 리코,thatsrightfrank,That's Right Frank! / 유즈하 리코(Yuzuha Riko) x 텐코 시부키 (Tenko Shibuki) cover,PdiTCYldc6k,1,PdiTCYldc6k,2025-06-25T09:00:06+00:00,448940,7784,True,0,,448940
UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린,2025년쿠리미들의린곡픽은,2025년 쿠리미들의 린 커버곡 픽은?✨️ #shorts #cover,xFCMW4cCAmk,1,xFCMW4cCAmk,2025-12-19T08:01:15+00:00,443141,15125,False,0,,443141
UCYxLMfeX1CbMBll9MsGlzmw,텐코 시부키,부키도수파도파,부키도 수파도파!! #SUPADOPA #shorts #cover #부키,Ml0dGoiK9Kk,1,Ml0dGoiK9Kk,2024-08-20T09:30:04+00:00,441765,20751,False,0,,441765
UCAHVQ44O81aehLWfy9O6Elw,아라하시 타비,물떼새,물떼새[ヨルシカ - 千鳥]ㅣ아라하시 타비 Cover,uBtFoUXR9Qc,1,uBtFoUXR9Qc,2026-09-07T14:59:07+00:00,441532,13019,False,0,,441532
UC1afpiIuBDcjYlmruAa0HiA,시라유키 히나,자다깨니야자수l寝起きヤシの木,🌴자다 깨니 야자수🌴 l 寝起きヤシの木! Cover #vtuber #shorts,i4JzPUvUD3E,1,i4JzPUvUD3E,2023-10-14T07:30:17+00:00,436138,20865,False,0,,436138
UCYxLMfeX1CbMBll9MsGlzmw,텐코 시부키,나에게꽃다발,나에게 꽃다발 [わたしに花束 - Ado] / 텐코 시부키(Tenko Shibuki) cover,xwuVYaJYERo,1,xwuVYaJYERo,2026-05-18T12:30:06+00:00,426310,9614,False,0,,426310
UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린,스위트매직,[4K] 스위트 매직 (スイートマジック) / 아오쿠모 린(Aokumo Rin) Cover,v8uHfZ1jLWo,1,v8uHfZ1jLWo,2025-11-09T09:01:21+00:00,416887,5316,False,0,,416887
UCcA21_PzN1EhNe7xS4MJGsQ,하나코 나나,driverslicense,drivers license - Olivia Rodrigo / 하나코 나나 COVER,SUJm8SX87DY,1,SUJm8SX87DY,2026-05-24T08:30:06+00:00,415244,11116,False,0,,415244
UCYxLMfeX1CbMBll9MsGlzmw,텐코 시부키,好きだから좋아하니까,好きだから｡ 좋아하니까 #shorts #cover #시부키,G8ShFfMJvMc,1,G8ShFfMJvMc,2024-11-11T04:00:08+00:00,407833,21550,False,0,,407833
UC0YQnenKBCu5sGb7H61n6HA,사키하네 후야,meltcpkremixl사키하네후야,Melt CPK! Remix (初音ミク ver.) [ryo (supercell)] l 사키하네 후야(Sakihane Huya) Cover,-RrbCkl3YJo,1,-RrbCkl3YJo,2026-04-30T10:00:06+00:00,398454,11700,True,0,,398454
UClbYIn9LDbbFZ9w2shX3K0g,아야츠노 유니,오네가이달링,오네가이 달링 「おねがいダーリン」 (ONE - ナナホシ管弦楽団) - 아야츠노 유니 Cover,bRa_zAaaCCE,1,bRa_zAaaCCE,2026-05-21T12:30:07+00:00,397066,11103,False,0,,397066
UC_eeSpMBz8PG4ssdBPnP07g,네네코 마시로,마시로,【 그 나라의 왕가는 이상해 】마시로 X 리제 COVER,7gYDCoiV7cc,1,7gYDCoiV7cc,2025-05-20T09:00:06+00:00,396619,8846,True,0,,396619
UCcA21_PzN1EhNe7xS4MJGsQ,하나코 나나,deco27,[4K] テレパシ(텔레파시) - DECO*27 / 하나코 나나 3D Live Cover,fc8eV7D-ANs,1,fc8eV7D-ANs,2025-10-12T04:00:59+00:00,394517,5684,False,0,,394517
UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린,소녀레이,소녀레이 [みきとP 『 少女レイ』] / 아오쿠모 린(Aokumo Rin) Cover,9S3if_u5n_Q,1,9S3if_u5n_Q,2026-08-11T11:00:06+00:00,393762,12675,False,0,,393762
UC0YQnenKBCu5sGb7H61n6HA,사키하네 후야,푸른산호초,푸른 산호초(青い珊瑚礁) - 松田 聖子 l 사키하네 후야(Sakihane Huya) Cover,8shKFjkHabo,1,8shKFjkHabo,2026-08-31T10:40:06+00:00,391828,12611,False,0,,391828
UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린,네기꺼이,네 기꺼이 (cover) #네기꺼이 #기리기리댄스,U_7d-cwPspY,1,U_7d-cwPspY,2024-09-05T09:00:24+00:00,385127,16106,False,0,,385127
UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린,귀엽기만하면안되나요,[4K] 귀엽기만 하면 안 되나요? (かわいいだけじゃだめですか？) / 아야츠노 유니 X 시라유키 히나 X 아오쿠모 린 Cover,aACJnJRuCLs,1,aACJnJRuCLs,2026-06-04T09:00:26+00:00,379118,7855,True,0,,379118
UCj0c1jUr91dTetIQP2pFeLA,유즈하 리코,notitle,[4K] No title - REOL / 유즈하 리코 (Yuzuha Riko) cover,P51Wh7FO28I,2,DOF6t9kQv7A|P51Wh7FO28I,2025-10-08T06:00:17+00:00,369239,9790,False,0,,369239
UCj0c1jUr91dTetIQP2pFeLA,유즈하 리코,최근화제의곡을한스트리머,최근 화제의 곡을 커버한 스트리머 #vtuber #shorts #스텔라이브 #리코 #용사툰,lMPWLCd7hlw,1,lMPWLCd7hlw,2026-01-01T06:00:55+00:00,357981,11033,False,0,,357981
UClbYIn9LDbbFZ9w2shX3K0g,아야츠노 유니,참생활,참생활 「真生活」 (KAKASHI) - 아야츠노 유니 Cover,vPFzWl54pt0,1,vPFzWl54pt0,2025-12-25T09:30:06+00:00,357161,7514,False,0,,357161
UCj0c1jUr91dTetIQP2pFeLA,유즈하 리코,리코가한노래중최고는,리코가 커버한 노래 중 최고는? #vtuber #shorts #스텔라이브 #리코,HAaWx7eQqJ8,1,HAaWx7eQqJ8,2026-01-19T06:00:15+00:00,351780,13638,False,0,,351780
UC_eeSpMBz8PG4ssdBPnP07g,네네코 마시로,귀여워서미안해마시로,귀여워서 미안해 [ 可愛くてごめん ] 마시로 cover  #마시로 #스텔라이브 #vtuber #cover #고양이 #귀여워서_미안해 #可愛くてごめん,SSS67cjAQcU,1,SSS67cjAQcU,2023-11-14T06:51:29+00:00,345947,17911,False,0,,345947
UC0YQnenKBCu5sGb7H61n6HA,사키하네 후야,chewingluvl사키하네후야,CHEWING LUV [아야츠노 유니] l 사키하네 후야(Sakihane Huya) Cover,Sj51pWOnW1o,1,Sj51pWOnW1o,2026-02-14T09:30:06+00:00,342246,14427,False,0,,342246
UCj0c1jUr91dTetIQP2pFeLA,유즈하 리코,help,HELP!! - Kobo Kanaeru 유즈하 리코 COVER #vtuber #리코 #스텔라이브,1Tifeyj4Xxo,1,1Tifeyj4Xxo,2024-09-09T07:00:01+00:00,342039,20886,False,0,,342039
UCYxLMfeX1CbMBll9MsGlzmw,텐코 시부키,내가죽으려고생각한것은,내가 죽으려고 생각한 것은 #shorts #cover #시부키,vXt0iztqhiE,1,vXt0iztqhiE,2024-08-02T08:37:05+00:00,340527,17016,False,0,,340527
UCj0c1jUr91dTetIQP2pFeLA,유즈하 리코,내이름맑음유즈하리코,내 이름 맑음 Cover by 유즈하리코 #vtuber #리코 #스텔라이브,l_v3YONSpfc,1,l_v3YONSpfc,2024-10-26T06:00:27+00:00,338198,16452,False,0,,338198
UCcA21_PzN1EhNe7xS4MJGsQ,하나코 나나,imaginedragons,[4K] Enemy - Imagine Dragons x J.I.D / 하나코 나나 3D Live Cover,5iYsqcKaQuw,1,5iYsqcKaQuw,2025-10-19T04:00:10+00:00,337793,5987,True,0,,337793
UC1afpiIuBDcjYlmruAa0HiA,시라유키 히나,mela,[4K] Mela! - 녹황색사회 (緑黄色社会) | 시라유키 히나 3D Live Cover,LOD3cnxgoZ0,1,LOD3cnxgoZ0,2026-02-15T05:00:21+00:00,336333,5996,False,0,,336333
UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린,완전감각dreamer,[4K] 완전감각Dreamer (完全感覚Dreamer) / 아오쿠모 린(Aokumo Rin) Cover,pgxzbTzvYdY,1,pgxzbTzvYdY,2026-06-07T09:00:00+00:00,333256,7844,False,0,,333256
UCYxLMfeX1CbMBll9MsGlzmw,텐코 시부키,mosimosi,mosi mosi? (楽音 / 사사네)  / 텐코 시부키(Tenko Shibuki) cover,zQp6ZZAT6ew,1,zQp6ZZAT6ew,2026-09-02T11:45:07+00:00,331409,11171,False,0,,331409
UCQmcltnre6aG9SkDRYZqFIg,아오쿠모 린,있잖아있잖아있잖아,[4K] 있잖아 있잖아 있잖아. (ねぇねぇねぇ。) / 시라유키 히나 x 아오쿠모 린 Cover,Rn7Vns5RJIk,1,Rn7Vns5RJIk,2026-06-01T09:00:31+00:00,328711,7372,True,0,,328711
UCj0c1jUr91dTetIQP2pFeLA,유즈하 리코,아이와나의바다,아이와 나의 바다 [My sea / 아이유 IU] / 유즈하 리코 Yuzuha Riko cover,blFr5w6o2jQ,1,blFr5w6o2jQ,2026-09-13T09:00:07+00:00,324334,11083,False,0,,324334
UC_eeSpMBz8PG4ssdBPnP07g,네네코 마시로,とんとんまえ,とんとんまーえ！(쿵쿵 앞-으로!) - 네네코 마시로 Cover,aUZPqPyLD9s,1,aUZPqPyLD9s,2025-09-28T10:50:06+00:00,322467,7994,False,0,,322467
UC1afpiIuBDcjYlmruAa0HiA,시라유키 히나,세계는사랑에빠져있어,[4K] 세계는 사랑에 빠져있어 (世界は恋に落ちている) | 시라유키 히나 3D Live Cover,2Wr4WCH1leY,2,C3MVk66BUps|2Wr4WCH1leY,2026-02-10T07:00:02+00:00,320556,9022,False,0,,320556
UC7-m6jQLinZQWIbwm9W-1iw,아카네 리제,리제와1000일을함께해줘서고맙느뇨,리제와 1000일을 함께해줘서 고맙느뇨❤️ #vtuber #shorts #cover,nuBn3s1snr4,1,nuBn3s1snr4,2026-03-06T05:48:27+00:00,313125,19486,False,0,,313125
UC0YQnenKBCu5sGb7H61n6HA,사키하네 후야,booo,Booo! - TOKOTOKO l 사키하네 후야(Sakihane Huya) Cover,VITNdv2ZywY,1,VITNdv2ZywY,2026-07-07T11:30:06+00:00,308104,9722,False,0,,308104
UCcA21_PzN1EhNe7xS4MJGsQ,하나코 나나,laststardust,[4K] LAST STARDUST - Aimer / 하나코 나나 3D Cover,WpdA5SeBras,2,WpdA5SeBras|rWKttGqYMmY,2026-09-08T08:00:40+00:00,301539,10980,False,0,,301539
UCcA21_PzN1EhNe7xS4MJGsQ,하나코 나나,오츠카레summer,"오츠카레summer [おつかれsummer/HALCALI] / 하나코 나나, 사키하네 후야 COVER",Zetk77I6_s8,1,Zetk77I6_s8,2026-09-12T11:00:06+00:00,301520,12468,False,0,,301520
UC_eeSpMBz8PG4ssdBPnP07g,네네코 마시로,메이드지상주의,메이드지상주의 [メイド☆至上主義]ㅣ네네코 마시로 x 아오쿠모 린 Cover,5uOxZswwBx4,1,5uOxZswwBx4,2026-03-14T10:00:06+00:00,294962,7659,True,0,,294962
UC7-m6jQLinZQWIbwm9W-1iw,아카네 리제,원하는노래가없어아쉬웠던당신을위한거짓말같은플레이리스트,원하는 노래가 없어 아쉬웠던 당신을 위한 거짓말 같은 플레이리스트 #vtuber #shorts #cover,mFph7olJexc,1,mFph7olJexc,2026-04-01T06:30:16+00:00,294757,17820,False,0,,294757
